Style: funny | Cuisine: American | Ingredients: beef, bun, cheese | Name: The Big Moo-d Burger
Style: funny | Cuisine: American | Ingredients: chicken, batter, spices | Name: Cluck Norris Nuggets
Style: funny | Cuisine: American | Ingredients: bacon, lettuce, tomato | Name: BLT Me Explain
Style: funny | Cuisine: American | Ingredients: mac, cheese, cream | Name: Mac Daddy Deluxe
Style: funny | Cuisine: American | Ingredients: ribs, bbq sauce, spices | Name: Rib Tickler Supreme
Style: funny | Cuisine: American | Ingredients: shrimp, butter, garlic | Name: Shrimply the Best
Style: funny | Cuisine: American | Ingredients: potatoes, oil, salt | Name: Fry Hard
Style: funny | Cuisine: American | Ingredients: hot dog, bun, mustard | Name: Hot Doggity Boom
Style: funny | Cuisine: American | Ingredients: pancake, syrup, butter | Name: Stack Overflow Breakfast
Style: funny | Cuisine: American | Ingredients: waffle, syrup, cream | Name: Waffle Me Crazy
Style: funny | Cuisine: American | Ingredients: steak, pepper, butter | Name: Steak Me Home Tonight
Style: funny | Cuisine: American | Ingredients: chicken, waffle, syrup | Name: Cluck & Waffle Remix
Style: funny | Cuisine: American | Ingredients: turkey, bread, mayo | Name: Gobble Till You Wobble
Style: funny | Cuisine: American | Ingredients: fish, batter, fries | Name: Fish You Were Here
Style: funny | Cuisine: American | Ingredients: cheese, dough, tomato | Name: Cheesy Rider Pizza
Style: funny | Cuisine: American | Ingredients: ice cream, chocolate, nuts | Name: Sundae Driver
Style: funny | Cuisine: American | Ingredients: apple, cinnamon, sugar | Name: Apple Bottom Pie
Style: funny | Cuisine: American | Ingredients: milk, ice cream, syrup | Name: Shake It Like a Polaroid
Style: funny | Cuisine: American | Ingredients: corn, butter, salt | Name: Corn Stars Delight
Style: funny | Cuisine: American | Ingredients: beef, bbq sauce, onion | Name: BBQlieve It or Not Burger
Style: funny | Cuisine: American | Ingredients: chicken, spices, oil | Name: Fry Another Day Chicken
Style: funny | Cuisine: American | Ingredients: eggs, bacon, toast | Name: Eggs-tra Special Breakfast
Style: funny | Cuisine: American | Ingredients: cheese, bread, butter | Name: Grilled Cheese Please
Style: funny | Cuisine: American | Ingredients: sausage, bun, ketchup | Name: Sausage Party Roll
Style: funny | Cuisine: American | Ingredients: beef, tortilla, cheese | Name: Taco Bout Delicious
Style: funny | Cuisine: American | Ingredients: chicken, tortilla, salsa | Name: Wrap It Like It’s Hot
Style: funny | Cuisine: American | Ingredients: lettuce, tomato, dressing | Name: Salad Days Forever
Style: funny | Cuisine: American | Ingredients: chocolate, flour, sugar | Name: Brownie Points Earned
Style: funny | Cuisine: American | Ingredients: vanilla, milk, sugar | Name: Vanilla Thrilla Shake
Style: funny | Cuisine: American | Ingredients: beef, onion, bun | Name: Onion Ring King Burger
