question,answer
What ingredients are needed to prepare Balu shahi?,"Maida flour, yogurt, oil, sugar"
What are the required ingredients to make Balu shahi?,"Maida flour, yogurt, oil, sugar"
What is Balu shahi made of?,"Maida flour, yogurt, oil, sugar"
What is the dietary type of Balu shahi?,vegetarian
Is Balu shahi vegetarian or non-vegetarian?,vegetarian
What diet category does Balu shahi belong to?,vegetarian
How long does it take to prepare Balu shahi?,45 minutes
What is the preparation time for Balu shahi?,45 minutes
How many minutes does it take to prepare Balu shahi?,45 minutes
How long does it take to cook Balu shahi?,25 minutes
What is the cooking time for Balu shahi?,25 minutes
How many minutes does it take to cook Balu shahi?,25 minutes
What is the origin of Balu shahi?,West Bengal
In which state was Balu shahi created?,West Bengal
Which state does Balu shahi belong to?,West Bengal
In which region is Balu shahi prepared?,East
What region does Balu shahi belong to?,East
In which region is Balu shahi popular?,East
What is the flavor profile of Balu shahi?,sweet
How does Balu shahi taste?,sweet
What flavor does Balu shahi have?,sweet
What is the food category of Balu shahi?,dessert
In which course is Balu shahi typically served?,dessert
Is Balu shahi a main dish or a side dish?,dessert
What ingredients are needed to prepare Boondi?,"Gram flour, ghee, sugar"
What are the required ingredients to make Boondi?,"Gram flour, ghee, sugar"
What is Boondi made of?,"Gram flour, ghee, sugar"
What is the dietary type of Boondi?,vegetarian
Is Boondi vegetarian or non-vegetarian?,vegetarian
What diet category does Boondi belong to?,vegetarian
How long does it take to prepare Boondi?,80 minutes
What is the preparation time for Boondi?,80 minutes
How many minutes does it take to prepare Boondi?,80 minutes
How long does it take to cook Boondi?,30 minutes
What is the cooking time for Boondi?,30 minutes
How many minutes does it take to cook Boondi?,30 minutes
What is the origin of Boondi?,Rajasthan
In which state was Boondi created?,Rajasthan
Which state does Boondi belong to?,Rajasthan
In which region is Boondi prepared?,West
What region does Boondi belong to?,West
In which region is Boondi popular?,West
What is the flavor profile of Boondi?,sweet
How does Boondi taste?,sweet
What flavor does Boondi have?,sweet
What is the food category of Boondi?,dessert
In which course is Boondi typically served?,dessert
Is Boondi a main dish or a side dish?,dessert
What ingredients are needed to prepare Gajar ka halwa?,"Carrots, milk, sugar, ghee, cashews, raisins"
What are the required ingredients to make Gajar ka halwa?,"Carrots, milk, sugar, ghee, cashews, raisins"
What is Gajar ka halwa made of?,"Carrots, milk, sugar, ghee, cashews, raisins"
What is the dietary type of Gajar ka halwa?,vegetarian
Is Gajar ka halwa vegetarian or non-vegetarian?,vegetarian
What diet category does Gajar ka halwa belong to?,vegetarian
How long does it take to prepare Gajar ka halwa?,15 minutes
What is the preparation time for Gajar ka halwa?,15 minutes
How many minutes does it take to prepare Gajar ka halwa?,15 minutes
How long does it take to cook Gajar ka halwa?,60 minutes
What is the cooking time for Gajar ka halwa?,60 minutes
How many minutes does it take to cook Gajar ka halwa?,60 minutes
What is the origin of Gajar ka halwa?,Punjab
In which state was Gajar ka halwa created?,Punjab
Which state does Gajar ka halwa belong to?,Punjab
In which region is Gajar ka halwa prepared?,North
What region does Gajar ka halwa belong to?,North
In which region is Gajar ka halwa popular?,North
What is the flavor profile of Gajar ka halwa?,sweet
How does Gajar ka halwa taste?,sweet
What flavor does Gajar ka halwa have?,sweet
What is the food category of Gajar ka halwa?,dessert
In which course is Gajar ka halwa typically served?,dessert
Is Gajar ka halwa a main dish or a side dish?,dessert
What ingredients are needed to prepare Ghevar?,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom"
What are the required ingredients to make Ghevar?,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom"
What is Ghevar made of?,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom"
What is the dietary type of Ghevar?,vegetarian
Is Ghevar vegetarian or non-vegetarian?,vegetarian
What diet category does Ghevar belong to?,vegetarian
How long does it take to prepare Ghevar?,15 minutes
What is the preparation time for Ghevar?,15 minutes
How many minutes does it take to prepare Ghevar?,15 minutes
How long does it take to cook Ghevar?,30 minutes
What is the cooking time for Ghevar?,30 minutes
How many minutes does it take to cook Ghevar?,30 minutes
What is the origin of Ghevar?,Rajasthan
In which state was Ghevar created?,Rajasthan
Which state does Ghevar belong to?,Rajasthan
In which region is Ghevar prepared?,West
What region does Ghevar belong to?,West
